Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
3129|5026337|240|512381|56|2026-01-14 09:03:03|
1680|5035180|800|180619|56|2026-01-19 16:02:02|
1680|5000932|240|E823198|56|2026-01-05 17:10:02|
3129|6000603|240|1655-2|56|2026-01-21 12:03:03|
1680|5087442|240|MNLU234752|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU248578|22|2026-01-19 09:16:02|
3129|6000613|240|15621MSM|56|2026-01-21 16:01:11|
1680|5035180|800|532016|56|2026-01-19 16:02:02|
1680|5083929|240|EMHU264056|22|2026-01-19 09:16:02|
3129|6000613|240|378726|56|2026-01-21 16:01:11|
1680|5083929|240|UMXU238237|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU894098|22|2026-01-19 09:16:02|
3129|6000603|240|R666|56|2026-01-21 12:03:03|
1680|5001378|270|UMXU257332|63|2026-01-08 18:09:02|
1680|5035180|800|2204|56|2026-01-19 16:02:02|
1680|5083929|240|MNLU234960|22|2026-01-19 09:16:02|
3949|5104860|071|53510|56|2026-01-08 15:41:00|
3949|5005113|160|FANU1446987|3|2026-01-07 13:36:06|
1680|5083929|240|UMXU931409|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU890196|22|2026-01-23 11:10:08|
1680|5018471|800|939|60|2026-01-08 15:33:12|
1680|5083929|240|TCZU653889|22|2026-01-19 09:16:02|
3949|5104882|071|53576|56|2026-01-08 15:45:03|
1680|5083929|240|EMHU203258|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU248297|22|2026-01-19 09:16:02|
1680|5035180|800|UMXU268542|22|2026-01-19 16:02:02|
1680|5083929|240|UMXU251204|22|2026-01-19 09:16:02|
1680|5001378|270|UMXU251357|63|2026-01-08 18:09:02|
1680|5087442|240|UMXU888016|22|2026-01-23 11:10:08|
3147|5023951|650|3291ZR|60|2026-01-08 10:28:01|
3949|5104832|071|53-869|56|2026-01-06 14:31:01|
1680|5000912|240|H53230|56|2026-01-14 12:06:02|
1680|5000912|240|EMHU646322|22|2026-01-14 12:06:02|
1669|5022895|430|HAMU1611570|3|2026-01-07 10:06:00|
3949|5104821|071|53409|56|2026-01-08 13:26:00|
1680|5087442|240|UMXU931545|22|2026-01-23 11:10:08|
1680|5036308|240|248395|60|2026-01-02 16:20:09|
1680|5035180|800|E81807|56|2026-01-19 16:02:02|
1680|5000912|240|UMXU267873|22|2026-01-14 12:06:02|
1680|5083929|240|UMXU250632|22|2026-01-19 09:16:02|
1680|5035180|800|532231|56|2026-01-19 16:02:02|
1680|5000912|240|UMXU881036|22|2026-01-14 12:06:02|
1680|5083929|240|EMHU265537|22|2026-01-19 09:16:02|
1680|5035190|800|530604|56|2026-01-08 15:55:01|
3129|5026337|240|710788|56|2026-01-14 09:03:03|
3949|5005114|160|HAMU1315408|3|2026-01-08 09:55:01|
3949|5005113|160|TGBU9890744|3|2026-01-07 13:36:06|
1680|5001377|270|UMXU935213|63|2026-01-08 18:09:01|
3949|5005339|160|TIIU2264497|1|2026-01-08 17:11:01|
3949|5005113|160|HAMU3444739|3|2026-01-07 13:36:06|
3949|5104821|071|531150|56|2026-01-08 13:26:00|
1680|5000912|240|5321924|56|2026-01-14 12:06:02|
1680|5087442|240|UMXU268521|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU887084|22|2026-01-23 11:10:08|
3129|6000613|240|53451|56|2026-01-21 16:01:11|
1680|5035180|800|53377|56|2026-01-19 16:02:02|
1680|5035180|800|175|56|2026-01-19 16:02:02|
1680|5035180|800|538397|56|2026-01-19 16:02:02|
1680|5083929|240|EMHU203981|22|2026-01-19 09:16:02|
1680|5000291|230|JS50|60|2026-01-07 13:58:03|
1680|5087442|240|UMXU884978|22|2026-01-23 11:10:08|
3949|5104821|071|53900|56|2026-01-08 13:26:00|
1669|5023790|430|TCNU8724538|3|2026-01-08 16:21:00|
1680|5000912|240|UMXU238059|22|2026-01-14 12:06:02|
1680|5083929|240|UMXU247537|22|2026-01-19 09:16:02|
3949|5104839|071|53-1121|56|2026-01-06 09:12:01|
1680|5018472|800|125|60|2026-01-08 15:33:13|
3129|6000613|240|8865|56|2026-01-21 16:01:11|
1680|5083929|240|UMXU885713|22|2026-01-19 09:16:02|
1680|5035180|800|E82404|56|2026-01-19 16:02:02|
3129|6000613|240|710783|56|2026-01-21 16:01:11|
1680|5035180|800|53498|56|2026-01-19 16:02:02|
1680|5035180|800|536027|56|2026-01-19 16:02:02|
3949|5005113|160|TGCU2070114|1|2026-01-07 13:36:06|
1680|5035180|800|12021|56|2026-01-19 16:02:02|
1680|5083929|240|MNLU234920|22|2026-01-19 09:16:02|
3129|6000613|240|710787|56|2026-01-21 16:01:11|
3949|5104821|071|53686|56|2026-01-08 13:26:00|
3949|5005113|160|TGCU2434108|1|2026-01-07 13:36:06|
1680|5083929|240|MNLU234914|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU248486|22|2026-01-19 09:16:02|
