Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
1680|6002495|800|85369099|9|3|0|4405|2026-01-23 15:46:03|
3949|5104836|071|85176217|8|3|21|9613|2026-01-09 15:44:01|
1680|5000827|240|40169999|62|3|21|27|2026-01-27 11:36:02|
3147|5038781|470|87082999|25|6|6|1511|2026-01-29 22:00:01|
1669|5003140|510|87081099|209|3|21|114|2026-01-13 17:37:00|
3147|6001295|470|39199099|4|6|0|2913|2026-01-21 11:53:01|
1669|6900631|430|87089412|719|3|21|10749|2026-01-13 11:45:01|
3147|6001012|650|73181599|496|3|0|100|2026-01-16 12:14:01|
1669|6900631|430|85443099|380|6|6|8|2026-01-13 11:45:01|
3147|5005609|850|84213201|31|3|21|3967|2026-01-20 14:43:15|
3147|6001012|650|87082999|337|3|0|34|2026-01-16 12:14:01|
3147|5005609|850|87082901|67|3|21|112|2026-01-20 14:43:15|
1680|6024620|240|27101902|1|3|0|55778|2026-01-19 12:43:04|
3949|6020001|670|84137007|798|3|0|12|2026-01-13 15:53:00|
1680|6024612|240|27101902|2|3|0|18695|2026-01-15 18:47:07|
1669|6900631|430|87089999|727|3|21|296|2026-01-13 11:45:01|
1680|6024633|240|27101902|1|6|0|26673|2026-01-23 18:49:01|
1669|6900631|430|87082999|478|6|6|49|2026-01-13 11:45:01|
1669|6004061|430|87021099|2|3|0|1201098|2026-01-30 16:55:04|
3147|5038781|470|87081099|43|3|21|199|2026-01-29 22:00:01|
3949|6020001|670|73079202|373|3|0|7|2026-01-13 15:53:00|
3147|6001397|470|87083011|5|3|0|28|2026-01-23 18:30:02|
3949|6020001|670|39263002|77|6|0|153|2026-01-13 15:53:00|
3147|6001323|470|49019991|3|3|9|318|2026-01-21 18:03:01|
3949|5104841|071|84213999|24|3|21|2450|2026-01-09 13:40:01|
3147|6001012|650|85443099|48|6|0|246|2026-01-16 12:14:01|
3147|6001012|650|85444299|313|6|0|25|2026-01-16 12:14:01|
3147|6001012|650|87089999|403|3|0|22|2026-01-16 12:14:01|
1680|6002489|800|82077003|4|3|0|58374|2026-01-16 16:43:01|
3949|6020001|670|39174001|23|3|0|131|2026-01-13 15:53:00|
3147|6001012|650|85013103|453|6|0|123|2026-01-16 12:14:01|
3949|6020001|670|87089199|2067|3|0|3483|2026-01-13 15:53:00|
1680|6011270|240|87032499|1|3|0|250364|2026-01-23 18:46:04|
1669|5003140|510|70091099|67|3|21|2359|2026-01-13 17:37:00|
1680|5000866|240|84133099|226|3|21|1560|2026-01-27 17:59:02|
1680|5000866|240|40093205|54|3|21|130|2026-01-27 17:59:02|
1680|5092196|240|84799018|1|3|21|5788|2026-01-09 15:52:02|
1680|6011268|240|87029099|1|3|0|229072|2026-01-23 16:59:09|
3949|6020001|670|84145999|838|6|0|105|2026-01-13 15:53:00|
1680|6000841|800|94032091|15|3|0|6530|2026-01-16 16:47:01|
3949|6020001|670|87082913|1655|3|0|60|2026-01-13 15:53:00|
3147|5005609|850|87084099|98|3|21|100|2026-01-20 14:43:15|
3147|6001012|650|84213999|404|6|0|25|2026-01-16 12:14:01|
3147|6001012|650|87082919|428|3|0|142|2026-01-16 12:14:01|
3147|5005609|850|84818022|36|3|21|247|2026-01-20 14:43:15|
3949|5104840|071|84139113|69|3|21|12166|2026-01-14 15:39:02|
3376|6001547|240|73269099|6|3|21|6|2026-01-16 10:05:08|
3949|6020001|670|83082001|604|6|0|80|2026-01-13 15:53:00|
3949|6000017|670|84082001|7|3|0|60013|2026-01-22 11:38:02|
1680|6002885|240|84213999|5|6|6|2603|2026-01-14 17:45:08|
1680|5000827|240|85366104|272|3|21|5|2026-01-27 11:36:02|
1680|5000827|240|87084007|368|3|21|123|2026-01-27 11:36:02|
1669|6900631|430|84825091|274|3|21|245|2026-01-13 11:45:01|
3147|6001294|470|90328999|4|3|0|26131|2026-01-22 12:41:01|
3949|6020001|670|87082999|1723|6|0|566|2026-01-13 15:53:00|
3147|6001012|650|87083009|469|6|0|118|2026-01-16 12:14:01|
1680|5092191|240|84842001|8|3|21|265|2026-01-09 12:43:03|
3147|6001012|650|85291009|257|3|0|32|2026-01-16 12:14:01|
3147|6001012|650|87082999|107|6|0|14|2026-01-16 12:14:01|
3147|6001012|650|90328999|263|6|0|10|2026-01-16 12:14:01|
3147|5005609|850|87083099|96|3|21|532|2026-01-20 14:43:15|
3949|5104840|071|59114001|35|3|21|10751|2026-01-14 15:39:02|
3147|6001012|650|73181599|480|3|0|13|2026-01-16 12:14:01|
3949|6020001|670|87087099|1954|3|0|240|2026-01-13 15:53:00|
3147|5005609|850|39269099|4|3|21|38|2026-01-20 14:43:15|
3147|5037949|470|84669499|4|3|21|911|2026-01-09 16:27:03|
1680|5000866|240|40169999|86|3|21|351|2026-01-27 17:59:02|
3147|5005610|850|87089999|80|3|21|147|2026-01-26 19:51:12|
1669|5003140|510|87082999|245|6|6|55|2026-01-13 17:37:00|
3949|6000016|670|40169304|1|6|0|63|2026-01-22 11:38:01|
3949|6020001|670|94019999|2753|3|0|619|2026-01-13 15:53:00|
3147|6001012|650|84149010|145|3|0|59|2026-01-16 12:14:01|
1669|6900631|430|87082999|476|3|21|116|2026-01-13 11:45:01|
3147|5005609|850|85437099|56|3|21|1776|2026-01-20 14:43:15|
1680|6011237|240|87045199|1|3|0|352004|2026-01-15 18:33:13|
3147|6001012|650|85184099|283|6|0|147|2026-01-16 12:14:01|
3147|5005609|850|40161001|8|3|21|110|2026-01-20 14:43:15|
3949|6020001|670|85111099|1223|3|0|133|2026-01-13 15:53:00|
3147|6001012|650|87084099|68|3|0|24|2026-01-16 12:14:01|
3949|6020001|670|90261007|2286|3|0|194|2026-01-13 15:53:00|
3147|6001014|650|85371099|53|3|0|880|2026-01-20 11:43:01|
1669|5003140|510|87082999|281|3|21|2278|2026-01-13 17:37:00|
1680|5000866|240|70091099|102|6|6|1163|2026-01-27 17:59:02|
1680|5000827|240|90328999|466|3|21|78|2026-01-27 11:36:02|
1669|6900631|430|85269299|342|3|21|323|2026-01-13 11:45:01|
1680|6000840|800|73261999|2|6|0|1183|2026-01-23 14:22:02|
3949|6020001|670|87082999|1747|6|0|300|2026-01-13 15:53:00|
3147|6001012|650|85443099|139|3|0|750|2026-01-16 12:14:01|
3147|5005617|850|87082999|17|3|21|18|2026-01-08 16:53:05|
3147|5005608|850|73182403|20|6|6|7|2026-01-20 14:03:06|
3147|6001012|650|85443099|295|6|0|192|2026-01-16 12:14:01|
3147|6001012|650|83021002|440|3|0|13|2026-01-16 12:14:01|
3147|5005608|850|87082999|56|6|6|136|2026-01-20 14:03:06|
3949|6020001|670|84819005|2545|3|0|1045|2026-01-13 15:53:00|
