Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1680|6000844|800||COVE257VNDGA7|DAP| ||| | |873972693|CLIFFS STEEL INC.||||||2026-01-21 15:46:01|
1680|6002469|800||COVE2579MKPT2|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-20 15:49:02|
1680|5005484|230|2025-12-11|COVE257VBICU8|FOB|USD|256576.02|256576.02|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
3147|6001405|470||COVE267XFRPQ3|FCA| ||| | |91330201567003931|NINGBO PREH JOYSON AUTOMOTIVE ELECTRONICS CO LTD||||||2026-01-27 13:43:02|
3147|6001405|470||COVE267XFRPD5|FCA| ||| | |FR39842985202|VITESCO TECHNOLOGIES FRANCE SAS||||||2026-01-27 13:43:02|
3949|5060521|070|2025-12-07|COVE257V398Q8|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-07 14:11:01|
3147|6001294|470||COVE267X2OYP3|FCA| ||| | |91320500699336869|FLEXTRONICS COMPUTING (SUZHOU) CO., LTD.||||||2026-01-22 12:41:01|
1680|6002470|800||COVE257DWNOL4|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-20 15:49:02|
3147|6001294|470||COVE267X2OY76|EXW| ||| | |91310000572700993|KSR (SHANGHAI) AUTOMOTIVE ENGINEERING & TECHNOLOGY CO., LTD||||||2026-01-22 12:41:01|
3949|5060535|070|2025-12-24|COVE257W0ZRF6|FCA|USD|75703.70|75703.70|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 17:11:05|
1680|5005478|230|2025-12-19|COVE257VTKKE4|FCA|USD|237146.66|237146.66|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-07 12:19:01|
3949|5060523|071|2025-12-11|COVE257VBM375|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
3949|5060554|071|2025-12-08|COVE257V452F1|FCA|USD|1.00|1.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 10:44:01|
3949|5060523|071|2025-12-16|COVE257VJYKH3|FOB|USD|1.00|1.00|MEX| |380549190|FORD DETROIT PDC HIGH CUBE CENTER|25640 PENNSYLVANIA RD.||S/N|481749603|ROMULUS|2026-01-08 12:49:05|
3949|5060546|071|2025-12-13|COVE257VGSDJ2|FCA|USD|1.00|1.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 18:03:01|
1680|6011269|240||COVE267XF1LZ1|DAP| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-26 18:30:08|
3147|6001012|650||COVE257TK9XB3|FCA| ||| | |380549190|FORD MOTOR COMPANY PDBC||||||2026-01-16 12:14:01|
1680|6011272|240||COVE267XFU0I8|DAP| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-26 18:32:03|
1680|5005484|230|2025-12-13|COVE257VGU4N3|FOB|USD|211812.91|211812.91|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
1680|6002481|800||COVE257F48A31|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 09:43:02|
1680|6002471|800||COVE257PSQ8C6|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:05|
1680|5005484|230|2025-12-05|COVE257UZN0F6|FOB|USD|225966.14|225966.14|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
1680|6002485|800||COVE257KDB9T6|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:26:02|
1680|6000844|800||COVE257VSNBX7|DAP| ||| | |873972693|CLIFFS STEEL INC.||||||2026-01-21 15:46:01|
3147|6001012|650||COVE257UA42O8|FCA| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-16 12:14:01|
3949|5060522|071|2025-12-19|COVE257VTHZU8|FOB|USD|200995.48|200995.48|MEX| |38-0549190|FORD OHIO TRUCK|799 ABBE RD||S/N|440541807|SHEFFIELD VILLAGE|2026-01-02 19:00:00|
3949|5060554|071|2025-12-03|COVE257UVIYK6|FCA|USD|1.00|1.00|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 10:44:01|
1680|5005482|230|2025-12-08|COVE257V3G523|FOB|USD|196943.52|196943.52|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5060522|071|2025-12-15|COVE257VJM4C7|FOB|USD|200995.48|200995.48|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 19:00:00|
1680|5005478|230|2025-12-06|COVE257V2VTM7|FCA|USD|194410.45|194410.45|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-07 12:19:01|
1680|5005482|230|2025-12-22|COVE257VVHJ18|FOB|USD|148835.98|148835.98|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3147|6001405|470||COVE267XFRPZ7|FCA| ||| | |91500000009316642|CHONGQING DAMING AUTOMOBILE ELECTRIC APPLIANCE CO. LTD.||||||2026-01-27 13:43:02|
1680|6024642|240||COVE267XHWJE4|EXW| ||| | |37-1652702|PHILLIPS 66 COMPANY||||||2026-01-28 12:37:02|
1680|6002477|800||COVE257O01YE4|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:01:02|
1680|5005483|230|2025-12-03|COVE257UUCDA7|FOB|USD|258681.72|258681.72|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|6002478|800||COVE257N2UX84|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:07:04|
1680|6002472|800||COVE257QV5541|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:07|
1680|5005483|230|2025-12-23|COVE257VXG4O7|FOB|USD|212492.96|212492.96|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|6002470|800||COVE257DRW4O2|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-20 15:49:02|
1680|6002485|800||COVE257LCVBI6|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:26:02|
1680|6011283|240||COVE267XPUFD7|DAP| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-30 17:53:04|
3949|5060522|071|2025-12-19|COVE257VS90J2|FOB|USD|190610.16|190610.16|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-02 19:00:00|
1680|5005483|230|2025-12-13|COVE257VGU9P8|FOB|USD|224710.48|224710.48|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005482|230|2025-12-24|COVE257W0GQP8|FOB|USD|190195.98|190195.98|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3949|5060523|071|2025-12-17|COVE257VMWKJ4|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
1680|6024611|240||COVE267WSSZW2|EXW| ||| | |37-1652702|PHILLIPS 66 COMPANY||||||2026-01-14 14:58:06|
3949|5060523|071|2025-12-11|COVE257VBE9F1|FOB|USD|1.00|1.00|MEX| |380549190|FORD KENTUCKY TRUCK PLANT 2|3001 CHAMBERLAIN LANE||S/N|402411985|LOUISVILLE|2026-01-08 12:49:05|
1680|6002485|800||COVE257KRU9C6|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:26:02|
3147|6001014|650||COVE257TNH0R5|FCA| ||| | |13-3221850|CASCO AUTOMOTIVE CORP||||||2026-01-20 11:43:01|
1680|6000840|800||COVE257TZN8Z1|EXW| ||| | |38-3349570|GLOBAL PARTS AND MAINTENANCE LLC||||||2026-01-23 14:22:02|
1680|5005484|230|2025-12-21|COVE257VV0NQ4|FOB|USD|256576.02|256576.02|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
3147|6001012|650||COVE257TF7UA7|FCA| ||| | |380549190|FORD MOTOR COMPANY PDBC||||||2026-01-16 12:14:01|
1680|6002480|800||COVE257PC6848|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:20:04|
1680|5005482|230|2025-12-08|COVE257V3IIH2|FOB|USD|124826.87|124826.87|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
3147|6001012|650||COVE257TOEOH7|FCA| ||| | |17-020-4486|CELANESE||||||2026-01-16 12:14:01|
1733|6002732|640||COVE267XBLGH5|FCA| ||| | |94-3406015|WIPRO PARI INC.||||||2026-01-28 17:50:03|
3147|6001014|650||COVE257TSMUN1|FCA| ||| | |362903176|ROBERT BOSCH LLC||||||2026-01-20 11:43:01|
1680|5005482|230|2025-12-24|COVE257W0GRW3|FOB|USD|153836.17|153836.17|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-03|COVE257UUCE15|FOB|USD|246731.63|246731.63|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5060538|071|2025-12-15|COVE257VI56T1|FCA|USD|182060.89|182060.89|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 14:21:01|
1680|5005482|230|2025-12-14|COVE257VGYRY6|FOB|USD|128907.76|128907.76|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005483|230|2025-12-16|COVE257VK1WH3|FOB|USD|207170.59|207170.59|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|6002461|800||COVE2473PI5X7|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-14 13:26:01|
1680|6002464|800||COVE2471E09U5|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:03|
3147|6001384|470||COVE257UMZ3P8|DAP| ||| | |GB246425757|FORD HALEWOOD TRANSMISSIONS LIMITED||||||2026-01-23 12:01:01|
1680|6000849|800||COVE257W0NHR7|DAP| ||| | |13-5459780|UNITED STATES STEEL INTERNATIONAL, INC||||||2026-01-16 17:01:00|
1680|5005525|230|2025-12-24|COVE257W0YSM1|FCA|USD|237146.66|237146.66|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 13:06:00|
1680|6000844|800||COVE257VZEDC4|DAP| ||| | |873972693|CLIFFS STEEL INC.||||||2026-01-21 15:46:01|
1680|6002469|800||COVE2579D7LI6|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-20 15:49:02|
1680|5005525|230|2025-12-18|COVE257VRKU23|FCA|CAD|98794.87|137731.60|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 13:06:00|
1680|6024634|240||COVE267XB4QU5|EXW| ||| | |37-1652702|PHILLIPS 66 COMPANY||||||2026-01-23 19:33:04|
1733|6002677|640||COVE267X1RR24|EXW| ||| | |380549190|FORD VAN DYKE ELECTRIC POWERTRAIN CENTER||||||2026-01-28 18:13:05|
1680|6002467|800||COVE2477RD9Q3|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:04|
1680|5005483|230|2025-12-14|COVE257VHEAN2|FOB|USD|258417.66|258417.66|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005483|230|2025-12-23|COVE257VXG3M3|FOB|USD|262365.00|262365.00|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|5005482|230|2025-12-20|COVE257VUM9M6|FOB|USD|131076.86|131076.86|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|5005476|230|2025-11-28|COVE257UNPLB7|FCA|USD|244657.47|244657.47|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-05 19:05:01|
1680|5005484|230|2025-12-10|COVE257V8QZ28|FOB|USD|261312.15|261312.15|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:00|
3949|5060527|070|2025-12-19|COVE257VTEBO6|FOB|USD|1.00|1.00|MEX| |896543659RT0013|UNIMOTION GEAR INC|245 EDWARD ST||S/N|L4G 3M7|AURORA|2026-01-02 19:43:01|
3147|6001014|650||COVE257TGX7O1|FCA| ||| | |383388409|CONTINENTAL AUTOMOTIVE SYSTEMS INC||||||2026-01-20 11:43:01|
1680|6002485|800||COVE257LV6GE7|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:26:02|
3147|6001012|650||COVE257TY0R01|FCA| ||| | |380549190|FORD MOTOR COMPANY PDBC||||||2026-01-16 12:14:01|
1669|5000222|810|2025-12-27|COVE257W3DYA6|FCA|EUR|670.13|577.60|DEU| |DE815121918|ITW FASTENER PRODUCTS GMBH|AM PULVERHAEUSCHEN 7||S/N|67673|ENKENBACH-ALSENBORN|2026-01-08 15:44:00|
3147|6001012|650||COVE257UQ3SQ2|FCA| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-16 12:14:01|
3949|6000020|670||COVE267XD0SG8|DAP| ||| | |38-0549190|FORD MOTOR COMPANY||||||2026-01-26 13:42:00|
1680|5005482|230|2025-12-01|COVE257UP1Y92|FOB|USD|129571.93|129571.93|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:08:03|
1680|6002473|800||COVE257SOJWJ3|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-21 15:15:06|
1680|6002480|800||COVE257PC6726|DAP| ||| | |41-2098321|NOVELIS CORPORATION||||||2026-01-16 15:20:04|
