Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
1680|6024640|240|27101902|2|C1||1702C126000027|40421.43|14308.81200|2026-01-28 12:35:14|
1680|6024608|240|27101902|6|C1||1702C126000027|4210.52|1907.84200|2026-01-14 18:42:03|
1669|6900410|510|87032399|1|CP||24VEH001105/1526|2697564.00|141.00000|2026-01-15 15:58:03|
1680|5092187|240|27101902|1|C1||1702C125001061|1535.60|416.35000|2026-01-12 15:57:02|
1680|6024626|240|27101902|1|C1||1702C126000027|54372.02|19078.41600|2026-01-21 14:03:02|
1680|6024621|240|27101902|1|C1||1702C126000027|40711.28|16216.65400|2026-01-19 12:53:03|
1669|6900345|430|87021099|1|CP||25VEH001135/9901|1208024.00|41.00000|2026-01-03 11:03:02|
1669|6900409|510|87032399|1|CP||24VEH001105/1526|1490004.00|36.00000|2026-01-16 11:13:01|
1680|6024635|240|27101902|4|NM|NYC-2502C0AL00186|NOM-116-SCFI-2018|10407.10|4769.60400|2026-01-26 13:49:06|
1680|6024615|240|27101902|4|C1||1702C126000027|6377.31|2861.76200|2026-01-15 19:51:04|
1680|6024604|240|27101902|3|NM|NYC-2502C0AL00186|NOM-116-SCFI-2018|31578.88|14308.81200|2026-01-20 11:04:07|
1680|6024625|240|27101902|2|NM|NYC-2502C0AL00186|NOM-116-SCFI-2018|6315.78|2861.76200|2026-01-21 14:02:05|
1669|6900345|430|87021099|2|CP||25VEH001135/9901|3213968.00|89.00000|2026-01-03 11:03:02|
1680|6024605|240|27101902|3|C1||1702C126000027|4216.77|1907.84200|2026-01-14 12:48:04|
1680|6024634|240|27101902|1|C1||1702C126000027|53895.24|19078.41600|2026-01-23 19:33:04|
1680|6024635|240|27101902|2|C1||1702C126000027|9708.56|4613.45600|2026-01-26 13:49:06|
1680|6024640|240|27101902|1|C1||1702C126000027|11542.48|4769.60400|2026-01-28 12:35:14|
3949|6020001|670|56081999|2440|N3||NOM-004-SE-2021|8.33|0.21319|2026-01-13 15:53:00|
1680|6024606|240|27101902|5|C1||1702C126000027|4170.22|1876.61200|2026-01-14 20:36:01|
1669|6000815|510|87034099|1|CP||25VEH001135/9901|15325324.00|648.00000|2026-01-31 11:06:01|
1680|6024612|240|27101902|2|NM|NYC-2402C0AL00123|NOM-116-SCFI-2018|5437.20|1907.84200|2026-01-15 18:47:07|
1680|6024633|240|27101902|1|C1||1702C126000027|43766.52|18609.97300|2026-01-23 18:49:01|
1680|6024636|240|27101902|1|C1||1702C126000027|45134.71|19078.41600|2026-01-26 18:29:01|
1680|6024605|240|27101902|1|NM|NYC-2402C0AL00124|NOM-116-SCFI-2018|17684.26|8304.22100|2026-01-14 12:48:04|
