Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
1680|6000841|800|84814099|6|99|VALVULA DE BOLA|1434.20000|15804|14342|805.00|10.000|6|3.17500|1||0|1||||USA|USA| | | | |1|F3|2026-01-16 16:47:01|
3147|6001012|650|94019999|30|01|ACOLCHONADO PARA ASIENTO|624.00000|688|624|35.00|1.000|6|2.50000|1||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
1680|5031255|800|85365099|1|08|MODULO DE CONTROL DEL PANEL DE INSTRUMENTOS|86.04601|594750|594750|32417.28|6912.000|6|698.00000|1||0|1||||MEX|USA| | | | |1|V1|2026-01-14 18:05:04|
1680|5092189|240|85371099|26|99|PANEL DE CONTROL|5929.00000|5995|5929|325.89|1.000|6|0.90700|1||0|1||POWERFIRST|PFC0800-24CH25S-B122-L2|IND|USA| | | | |1|F2|2026-01-09 14:53:02|
1669|6900631|430|85122002|314|00|CALAVERA TRASERA|660.75000|9827|7929|442.33|12.000|6|10.07336|1||1|1||||TUR|GBR| | | | |1|F2|2026-01-13 11:45:01|
1680|6000840|800|39211302|1|99|HOJAS ESPUMOSAS DE PLASTICO ADHESIVAS|87.26000|19231|17452|1000.00|200.000|6|9.07200|1||0|1||||USA|USA| | | | |1|F3|2026-01-23 14:22:02|
1680|5087442|240|39239099|21|00|CHAROLAS DE PLASTICO|17.90421|0|236640|13217.00|13217.000|6|13217.00000|1||0|0||||USA|USA| | | | |2|H1|2026-01-23 11:10:08|
1669|5003140|510|85389001|184|00|TAPA DE LA UNION DE FUSIBLES|101.50000|252|203|11.30|2.000|6|2.00000|6||1|1||||PHL|THA| | | | |1|F2|2026-01-13 17:37:00|
3949|5104841|071|85389005|67|00|MODULO E/R|30726.00000|31067|30726|1709.00|1.000|6|1.00000|6||0|1||||DEU|USA| | | | |1|F2|2026-01-09 13:40:01|
1669|6900631|430|90328999|800|00|MODULO - CONTROL DE MOTOR - EEC V|2930.00000|14526|11720|653.83|4.000|6|4.00000|6||1|1||||HUN|GBR| | | | |1|F2|2026-01-13 11:45:01|
